"ID","age","gender","context_hours_watching","passive_watching_lang1","passive_watching_lang1_hours","passive_watching_lang2","passive_watching_lang2_hours","passive_watching_lang3","passive_watching_lang3_hours","passive_watching_lang4","passive_watching_lang4_hours","context_hours_listening","passive_listening_lang1","passive_listening_lang1_hours","passive_listening_lang2","passive_listening_lang2_hours","passive_listening_lang3","passive_listening_lang3_hours","passive_listening_lang4","passive_listening_lang4_hours","context_hours_games","passive_games_lang1","passive_games_lang1_hours","passive_games_lang2","passive_games_lang2_hours","passive_games_lang3","passive_games_lang3_hours","passive_games_lang4","passive_games_lang4_hours","context_hours_internet","passive_internet_lang1","passive_internet_lang1_hours","passive_internet_lang2","passive_internet_lang2_hours","passive_internet_lang3","passive_internet_lang3_hours","passive_internet_lang4","passive_internet_lang4_hours","context_hours_home","passive_home_lang1","passive_home_lang1_hours","passive_home_lang2","passive_home_lang2_hours","passive_home_lang3","passive_home_lang3_hours","passive_home_lang4","passive_home_lang4_hours","context_hours_family","passive_family_lang1","passive_family_lang1_hours","passive_family_lang2","passive_family_lang2_hours","passive_family_lang3","passive_family_lang3_hours","passive_family_lang4","passive_family_lang4_hours","context_hours_social","passive_social_lang1","passive_social_lang1_hours","passive_social_lang2","passive_social_lang2_hours","passive_social_lang3","passive_social_lang3_hours","passive_social_lang4","passive_social_lang4_hours","context_hours_work_school","passive_work_school_lang1","passive_work_school_lang1_hours","passive_work_school_lang2","passive_work_school_lang2_hours","passive_work_school_lang3","passive_work_school_lang3_hours","passive_work_school_lang4","passive_work_school_lang4_hours","context_hours_out_of_home","passive_out_of_home_lang1","passive_out_of_home_lang1_hours","passive_out_of_home_lang2","passive_out_of_home_lang2_hours","passive_out_of_home_lang3","passive_out_of_home_lang3_hours","passive_out_of_home_lang4","passive_out_of_home_lang4_hours","context_hours_other","context_hours_other_please_specify","passive_other_lang1","passive_other_lang1_hours","passive_other_lang2","passive_other_lang2_hours","passive_other_lang3","passive_other_lang3_hours","passive_other_lang4","passive_other_lang4_hours","hours_awake_question_15","other_info_part_2_question_16","passie_family_lang4_hours"
"5114",31,"Female",3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,"English",1,NA,NA,NA,NA,NA,NA,18,NA,NA
"5178",38,"Male",1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,12,"English",12,NA,NA,NA,NA,NA,NA,12,"English",12,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,"English",12,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
"5031",28,"Male",3,"English",2.75,"Japanese",0.25,NA,NA,NA,NA,3,"English",2.5,"Japanese",0.5,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,1.5,"English",1.5,NA,NA,NA,NA,NA,NA,0.5,"English",0.5,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
"5208",24,"Female",6,"English",6,"French",0,"German",0,"Spanish",0,4,"English",4,"Spanish",0,"French",0,"German",0,7,NA,NA,NA,NA,NA,NA,NA,NA,8,"English",8,"French",0,"Spanish",0,"German",0,15,"English",15,"French",0,"German",0,"Spanish",0,15,"English",15,"Spanish",0,"french",0,"german",0,2,"English",2,"German",0,"Spanish",0,"French",0,5,"English",5,"French",0,"Spanish",0,"German",0,1,"English",1,"Spanish",0,"German",0,"French",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,0
"5156",35,"Female",5,"English",5,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"5096",31,"Female",2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,9,"English",9,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,"English",0,NA,NA,NA,NA,NA,NA,15,NA,NA
"5356",29,"Male",3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",0.5,"Spanish",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"5386",36,"Male",0,"English",0,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"I only speak and use English and am not passively exposed to any other languages on a regular basis.",NA
"5348",30,"Female",10,"English",10,"Japanese",0,NA,NA,NA,NA,3,"English",2.5,"Japanese",0.5,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,19,"English",19,NA,NA,NA,NA,NA,NA,1,"Enlighs",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",1.9,"Japanese",0.1,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"I only rarely engage with my Japanese-speaking friend, so I gave my best estimate on my exposure to the language when answering the questions. It was difficult and I apologize. I'd say 99% of my day is spent doing everything in English, from reading to speaking, etc.",NA
"5363",26,"Female",3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,16,"English",16,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,3,"English 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
